firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1389356550	http://twitter.com/thestrongmusic/status/421618048400101376	Not Available	Not Available	u'#Angrily #cat #angry #cats #love #pet #paw #funny #cute #pets #meow #animal #lover #animals #loves #kitty https://t.co/LvOYbqHN8s'	thestrongmusic	☪
1389358070	http://twitter.com/no__name__cat/status/421624421653417985	Not Available	Not Available	u'#Angrily #cat #angry #cats #love #pet #paw #funny #cute #pets #meow #animal #lover #animals #loves #kitty  https://t.co/eE0AcV8Ens'	no__name__cat	佐ト
1397761240	http://twitter.com/daisybrooklyn/status/456869871692054528	Not Available	Not Available	u'WHY CANT I FUCKIN DO HAND SPRING #angry #anger #emotions #angrily #fury #furious #2k14'	daisybrooklyn	greengoddess
1371122665	http://twitter.com/erin752/status/345139592481103872	Not Available	Not Available	u'Do not be #bitter or #angry or #mad. Never #shout #angrily or #say things to #hurt others. Never do anything #evil.\u2026 http://t.co/WcHASdjDfT'	79emeralds	Erin 
1329491673	http://twitter.com/deejay_03/status/170526553330024449	Not Available	Not Available	u'The #world is #angry right now and only time will tell when it #erupts #angrily like a #volcano..'	deejay_03	A Alashe
1323294291	http://twitter.com/arronmacdonald/status/144532851851927552	Not Available	Not Available	u'So So #Angry saw this coming a while ago. I will now tweet #angrily about what #United need to do to fix this. #MUFC #Shakeup'	amac_bb	Arron MacDonald
1370515829	http://twitter.com/tz_uchay/status/342594337198190592	Not Available	Not Available	u'Waitin... #Angrily"@UnilagOracle: Boss chill "@tz_Uchay: @UnilagOracle wherez my RT!!!! #angry""'	tz_uchay	I FOLLOW BACK!!! IG:
1383861122	http://twitter.com/sharonepack/status/398568551528677376	Not Available	Not Available	u'RT @sharonePack: #Kindness #OutLOUD\n\nNever be #bitter, #angry, or #mad\n#Never #shout #angrily\nor say things to #hurt others\nNever do anythi\u2026'	kkmb7	K Brown
1376237727	http://twitter.com/serdarkya/status/366593714036031489	Not Available	Not Available	u'#london #thorpepark #happy #blacklooks #angrily http://t.co/H3Nm4ddKtC'	serdarkya	serdar kaya
1351271652	http://twitter.com/jadedbypolitics/status/261878407489544192	Not Available	Not Available	u"@megynkelly I am disgusted w/guests on FOX who say We The People don't care WE WAITED 16hrs for a President to say something #angrily waited"	jadedbypolitics	JadedByPolitics
1371606158	http://twitter.com/eveyjacob/status/347167507704057856	Not Available	Not Available	u"INNER EDITOR: Do you even know what you're doing? ME: NO. THERE. ARE YOU HAPPY!? I HAVE NO CLUE ANYMORE. #AmWriting #Angrily"	eveyjacob	Eve Jacob
1378593543	http://twitter.com/lawal36/status/376474722927525888	Not Available	Not Available	u'me not gonna feel sad abt u again in ma lyf#angrily#'	lawal36	Damilaw Starboy
